iter	Logloss
0	0.6698852514
1	0.6431554914
2	0.6198743892
3	0.5987947068
4	0.5801753296
5	0.5646935339
6	0.546254271
7	0.5275394815
8	0.5131003264
9	0.4977973224
10	0.4815837978
11	0.4670282333
12	0.4526555255
13	0.4400514345
14	0.4302813407
15	0.4197571354
16	0.4100812044
17	0.3994904589
18	0.3897963935
19	0.3800048834
20	0.3704369204
21	0.3634745983
22	0.3549107012
23	0.3477055232
24	0.341176866
25	0.3335252875
26	0.326002639
27	0.3165887264
28	0.3093275415
29	0.3019294769
30	0.2965230624
31	0.2898973334
32	0.2845641384
33	0.2794712952
34	0.2741245468
35	0.2688414866
36	0.2644462843
37	0.2581587176
38	0.2536602304
39	0.2488676665
40	0.2439072465
41	0.2394799564
42	0.2345309482
43	0.231084648
44	0.2274046871
45	0.2235130723
46	0.2190319503
47	0.2163585836
48	0.2130369521
49	0.2098728156
50	0.2055309584
51	0.2033716406
52	0.2003752891
53	0.1965966721
54	0.1933438774
55	0.1906392078
56	0.18817398
57	0.1862707943
58	0.1838527981
59	0.1814652455
60	0.1788231074
61	0.1763748208
62	0.1741222127
63	0.1722698083
64	0.1704813492
65	0.1684246741
66	0.1661466804
67	0.1640504433
68	0.1619601487
69	0.159708368
70	0.1579775025
71	0.1560297305
72	0.1545063068
73	0.1526426621
74	0.151684884
75	0.1495603135
76	0.1468285857
77	0.1448546473
78	0.143127532
79	0.1422249495
80	0.1413092547
81	0.1395940462
82	0.1375003088
83	0.1365176077
84	0.1348421
85	0.1331581226
86	0.1318282558
87	0.1304905778
88	0.1289801353
89	0.127921374
90	0.1262883565
91	0.125129324
92	0.1243569285
93	0.1225596995
94	0.1215972757
95	0.1206282642
96	0.1195573033
97	0.117966615
98	0.1165501541
99	0.1153749476
100	0.1145393568
101	0.1138701494
102	0.1128281977
103	0.1119990139
104	0.1112718399
105	0.1104681451
106	0.1095274445
107	0.1087025304
108	0.1080000061
109	0.1074480663
110	0.106725205
111	0.1061238685
112	0.1055662548
113	0.1047997985
114	0.1040511002
115	0.1034642376
116	0.1028881312
117	0.1021876267
118	0.1017798824
119	0.1012299773
120	0.1001246228
121	0.09961453919
122	0.09905464987
123	0.09858823348
124	0.09813170355
125	0.0975334632
126	0.09690502414
127	0.0955483631
128	0.09492719099
129	0.09435108815
130	0.09360456016
131	0.09304251548
132	0.09245548958
133	0.09193660009
134	0.09142242385
135	0.09022201955
136	0.08988540274
137	0.08941174851
138	0.08865022332
139	0.08803388744
140	0.08772213123
141	0.08694671281
142	0.08650258472
143	0.08573867689
144	0.08539101193
145	0.08452228149
146	0.08415230752
147	0.08368830374
148	0.08328916768
149	0.08278564507
150	0.08246916511
151	0.08211328991
152	0.08109399066
153	0.08082540391
154	0.08055787565
155	0.08036344449
156	0.07978827123
157	0.07949264671
158	0.07916462187
159	0.07890691993
160	0.07824953688
161	0.07782577467
162	0.07723394276
163	0.07682480603
164	0.07645856197
165	0.07617482396
166	0.07589948882
167	0.07563140838
168	0.07534302684
169	0.07457182511
170	0.07420268672
171	0.0737900687
172	0.07350045594
173	0.07318322457
174	0.07278305549
175	0.07255105449
176	0.0721915584
177	0.07186832114
178	0.07159487703
179	0.07128202816
180	0.07092069047
181	0.07018262336
182	0.06996974635
183	0.06897848205
184	0.06876585093
185	0.06846766165
186	0.06812015366
187	0.06754934948
188	0.06736368519
189	0.0671039012
190	0.06677679073
191	0.06640738586
192	0.06620403409
193	0.06576652549
194	0.06563294255
195	0.06493859077
196	0.06459765109
197	0.06414398923
198	0.06368858212
199	0.06352699668
200	0.06336801889
201	0.06300994842
202	0.06271979356
203	0.06260926171
204	0.06246512118
205	0.06188065496
206	0.06157465862
207	0.0614110588
208	0.06102661477
209	0.06075520939
210	0.06058251091
211	0.06009321951
212	0.05996616304
213	0.05966167088
214	0.05953349877
215	0.05919723031
216	0.0589529672
217	0.05881967064
218	0.05845117396
219	0.05823173401
220	0.05802940185
221	0.0578926497
222	0.05775958674
223	0.05746874932
224	0.05694020907
225	0.05670550847
226	0.05599102138
227	0.05585848049
228	0.05564571613
229	0.0550736132
230	0.05476130439
231	0.05439794434
232	0.05421514941
233	0.05406908108
234	0.05382128884
235	0.05355817268
236	0.05338835846
237	0.05289406681
238	0.05266228076
