iter	Passed	Remaining
441	1302	1643
442	1304	1640
443	1307	1636
444	1309	1633
445	1312	1630
446	1315	1627
447	1318	1624
448	1320	1621
449	1324	1618
450	1326	1615
451	1329	1612
452	1332	1609
453	1335	1606
454	1338	1602
455	1340	1599
456	1343	1595
457	1345	1592
458	1348	1589
459	1350	1585
460	1353	1582
461	1355	1578
462	1357	1574
463	1360	1571
464	1366	1571
465	1368	1568
466	1371	1565
467	1374	1562
468	1376	1558
469	1380	1556
470	1382	1553
471	1386	1551
472	1389	1548
473	1392	1544
474	1395	1541
475	1397	1538
476	1399	1534
477	1402	1531
478	1404	1527
479	1407	1524
480	1409	1521
481	1412	1518
482	1414	1514
483	1417	1511
484	1420	1507
485	1422	1504
486	1424	1500
487	1427	1497
488	1430	1494
489	1432	1491
490	1435	1487
491	1437	1484
492	1439	1480
493	1442	1477
494	1444	1473
495	1446	1470
496	1449	1466
497	1451	1463
498	1453	1459
499	1456	1456
500	1459	1453
501	1461	1449
502	1463	1446
503	1466	1442
504	1468	1439
505	1470	1435
506	1474	1433
507	1479	1432
508	1483	1431
509	1486	1427
510	1488	1424
511	1491	1421
512	1493	1418
513	1496	1414
514	1498	1411
515	1501	1408
516	1503	1404
517	1506	1401
518	1508	1398
519	1511	1395
520	1514	1391
521	1516	1388
522	1518	1385
523	1520	1381
524	1523	1378
525	1525	1374
526	1528	1371
527	1530	1368
528	1533	1365
529	1535	1361
530	1538	1358
531	1541	1355
532	1543	1352
533	1545	1349
534	1548	1345
535	1550	1342
536	1553	1339
537	1556	1336
538	1558	1333
539	1561	1329
540	1563	1326
541	1565	1323
542	1568	1319
543	1573	1319
544	1576	1316
545	1579	1313
546	1582	1310
547	1584	1307
548	1587	1304
549	1589	1300
550	1591	1297
551	1594	1293
552	1596	1290
553	1599	1287
554	1601	1284
555	1604	1281
556	1606	1278
557	1609	1274
558	1611	1271
559	1614	1268
560	1616	1265
561	1619	1261
562	1621	1258
563	1624	1255
564	1627	1252
565	1629	1249
566	1631	1246
567	1634	1242
568	1636	1239
569	1639	1236
570	1641	1233
571	1643	1229
572	1645	1226
573	1648	1223
574	1650	1220
575	1653	1217
576	1655	1213
577	1657	1210
578	1660	1207
579	1662	1203
580	1665	1200
581	1670	1199
582	1672	1196
583	1675	1193
584	1677	1190
585	1679	1186
586	1681	1183
587	1684	1180
588	1686	1177
589	1689	1174
590	1691	1170
591	1694	1167
592	1697	1164
593	1699	1161
594	1702	1158
595	1705	1155
596	1707	1152
597	1710	1149
598	1712	1146
599	1715	1143
600	1718	1140
601	1720	1137
602	1723	1134
603	1725	1131
604	1727	1128
605	1730	1125
606	1733	1122
607	1735	1119
608	1738	1115
609	1740	1112
610	1743	1109
611	1745	1106
612	1748	1103
613	1750	1100
614	1753	1097
615	1755	1094
616	1757	1091
617	1760	1088
618	1762	1084
619	1765	1082
620	1767	1078
621	1770	1075
622	1772	1072
623	1775	1069
624	1777	1066
625	1783	1065
626	1789	1064
627	1792	1061
628	1794	1058
629	1797	1055
630	1800	1052
631	1802	1049
632	1805	1046
633	1807	1043
634	1810	1040
635	1812	1037
636	1815	1034
637	1817	1031
638	1819	1028
639	1822	1025
640	1824	1021
641	1827	1019
642	1830	1016
643	1832	1013
644	1835	1010
645	1837	1007
646	1840	1004
647	1843	1001
648	1845	998
649	1849	995
650	1852	992
651	1854	989
652	1857	987
653	1861	984
654	1865	982
655	1869	980
656	1871	977
657	1874	974
658	1877	971
659	1880	968
660	1883	965
661	1886	962
662	1888	960
663	1891	957
664	1894	954
665	1896	951
666	1899	948
667	1902	945
668	1905	942
669	1908	939
670	1911	937
671	1914	934
672	1917	931
673	1919	928
674	1922	925
675	1926	923
676	1929	920
677	1932	917
678	1934	914
679	1937	911
680	1941	909
681	1943	906
682	1946	903
683	1948	900
684	1951	897
685	1953	894
686	1956	891
687	1959	888
688	1961	885
689	1964	882
690	1966	879
691	1969	876
692	1971	873
693	1974	870
694	1976	867
695	1979	864
696	1981	861
697	1983	858
698	1986	855
699	1988	852
700	1990	849
701	1993	846
702	1995	843
703	1998	840
704	2000	837
705	2003	834
706	2006	831
707	2008	828
708	2011	825
709	2014	822
710	2017	819
711	2019	817
712	2022	814
713	2025	811
714	2028	808
715	2034	806
716	2042	806
717	2045	803
718	2048	800
719	2051	797
720	2054	794
721	2057	792
722	2059	789
723	2062	786
724	2065	783
725	2067	780
726	2070	777
727	2073	774
728	2075	771
729	2078	768
730	2080	765
731	2083	762
732	2085	759
733	2088	756
734	2090	753
735	2093	750
736	2095	747
737	2097	744
738	2100	741
739	2102	738
740	2104	735
741	2107	732
742	2110	729
743	2112	726
744	2115	723
745	2117	721
746	2120	718
747	2122	715
748	2125	712
749	2128	709
750	2130	706
751	2132	703
752	2135	700
753	2137	697
754	2140	694
755	2144	692
756	2148	689
757	2151	686
758	2154	684
759	2157	681
760	2159	678
761	2162	675
762	2164	672
763	2167	669
764	2169	666
765	2172	663
766	2175	660
767	2178	657
768	2180	655
769	2183	652
770	2185	649
771	2188	646
772	2191	643
773	2194	640
774	2196	637
775	2199	634
776	2202	632
777	2205	629
778	2208	626
779	2211	623
780	2214	620
781	2216	617
782	2219	615
783	2222	612
784	2224	609
785	2227	606
786	2229	603
787	2232	600
788	2235	597
789	2237	594
790	2240	591
791	2242	589
792	2245	586
793	2248	583
794	2251	580
795	2254	577
796	2257	574
797	2259	571
798	2264	569
799	2266	566
800	2268	563
801	2271	560
802	2274	557
803	2276	555
804	2279	552
805	2281	549
806	2284	546
807	2286	543
808	2288	540
809	2291	537
810	2293	534
811	2296	531
812	2299	528
813	2301	525
814	2304	523
815	2306	520
816	2309	517
817	2312	514
818	2314	511
819	2317	508
820	2319	505
821	2321	502
822	2324	499
823	2326	496
824	2329	494
825	2331	491
826	2334	488
827	2336	485
828	2339	482
829	2341	479
830	2344	476
831	2346	473
832	2349	470
833	2351	468
834	2354	465
835	2356	462
836	2359	459
837	2361	456
838	2363	453
839	2366	450
840	2368	447
841	2371	444
842	2373	442
843	2376	439
844	2378	436
845	2381	433
846	2384	430
847	2389	428
848	2392	425
849	2395	422
850	2397	419
851	2400	416
852	2402	414
853	2406	411
854	2408	408
855	2411	405
856	2413	402
857	2416	399
858	2418	397
859	2421	394
860	2424	391
861	2426	388
862	2429	385
863	2431	382
864	2434	379
865	2436	377
866	2439	374
867	2441	371
868	2444	368
869	2446	365
870	2449	362
871	2451	359
872	2454	357
873	2456	354
874	2459	351
875	2462	348
876	2464	345
877	2466	342
878	2469	339
879	2471	337
880	2473	334
881	2476	331
882	2478	328
883	2480	325
884	2484	322
885	2486	319
886	2493	317
887	2497	314
888	2499	312
889	2502	309
890	2505	306
891	2508	303
892	2511	300
893	2514	298
894	2516	295
895	2519	292
896	2521	289
897	2523	286
898	2526	283
899	2528	280
900	2531	278
901	2533	275
902	2536	272
903	2538	269
904	2541	266
905	2543	263
906	2546	261
907	2548	258
908	2550	255
909	2553	252
910	2556	249
911	2558	246
912	2561	244
913	2563	241
914	2566	238
915	2568	235
916	2571	232
917	2573	229
918	2576	227
919	2580	224
920	2584	221
921	2586	218
922	2589	216
923	2591	213
924	2594	210
925	2596	207
926	2599	204
927	2601	201
928	2604	199
929	2606	196
930	2609	193
931	2611	190
932	2614	187
933	2616	184
934	2618	182
935	2621	179
936	2623	176
937	2626	173
938	2628	170
939	2631	167
940	2633	165
941	2636	162
942	2638	159
943	2641	156
944	2643	153
945	2646	151
946	2648	148
947	2651	145
948	2653	142
949	2656	139
950	2658	136
951	2660	134
952	2663	131
953	2665	128
954	2668	125
955	2670	122
956	2673	120
957	2675	117
958	2678	114
959	2680	111
960	2683	108
961	2685	106
962	2688	103
963	2690	100
964	2692	97
965	2695	94
966	2699	92
967	2702	89
968	2705	86
969	2708	83
970	2710	80
971	2713	78
972	2715	75
973	2718	72
974	2720	69
975	2722	66
976	2725	64
977	2727	61
978	2729	58
979	2732	55
980	2734	52
981	2736	50
982	2738	47
983	2741	44
984	2743	41
985	2745	38
986	2747	36
987	2750	33
988	2752	30
989	2755	27
990	2757	25
991	2759	22
992	2762	19
993	2764	16
994	2766	13
995	2769	11
996	2771	8
997	2773	5
998	2776	2
999	2778	0
