sys_enter_clock_nanosleep,sys_enter_close,sys_enter_epoll_pwait,sys_enter_epoll_wait,sys_enter_fcntl,sys_enter_futex,sys_enter_getegid,sys_enter_geteuid,sys_enter_getrandom,sys_enter_getuid,sys_enter_ioctl,sys_enter_lseek,sys_enter_madvise,sys_enter_mmap,sys_enter_mprotect,sys_enter_nanosleep,sys_enter_newfstat,sys_enter_newfstatat,sys_enter_openat,sys_enter_poll,sys_enter_prctl,sys_enter_pwrite64,sys_enter_read,sys_enter_readlink,sys_enter_recvmsg,sys_enter_rt_sigaction,sys_enter_sendmsg,sys_enter_splice,sys_enter_write,sys_enter_writev,label
0.0,1336.0,292.0,68.0,201.0,1555.0,166.0,167.0,276.0,190.0,38.0,2.0,6.0,215.0,108.0,476.0,1105.0,581.0,1354.0,246.0,269.0,0.0,1119.0,238.0,10.0,385.0,3.0,0.0,226.0,5.0,1
0.0,2599.0,569.0,135.0,392.0,2255.0,333.0,335.0,552.0,345.0,53.0,4.0,10.0,436.0,220.0,849.0,2140.0,986.0,2625.0,310.0,538.0,0.0,2034.0,476.0,15.0,770.0,6.0,0.0,391.0,14.0,1
0.0,1359.0,284.0,94.0,259.0,1660.0,170.0,171.0,291.0,200.0,43.0,4.0,8.0,225.0,110.0,411.0,1113.0,679.0,1366.0,454.0,273.0,2.0,1227.0,238.0,58.0,385.0,25.0,0.0,319.0,5.0,1
0.0,1346.0,295.0,94.0,240.0,5007.0,170.0,171.0,277.0,176.0,49.0,4.0,11.0,223.0,110.0,403.0,1117.0,588.0,1349.0,266.0,273.0,0.0,1140.0,238.0,50.0,385.0,27.0,0.0,281.0,5.0,1
0.0,1363.0,314.0,94.0,202.0,1609.0,162.0,164.0,277.0,205.0,44.0,2.0,62.0,216.0,164.0,406.0,1117.0,747.0,1384.0,433.0,267.0,0.0,1211.0,226.0,50.0,385.0,19.0,0.0,306.0,9.0,1
0.0,1353.0,466.0,86.0,199.0,2012.0,166.0,167.0,276.0,201.0,32.0,6.0,1030.0,241.0,110.0,431.0,1104.0,693.0,1369.0,472.0,287.0,0.0,1233.0,238.0,55.0,385.0,25.0,0.0,333.0,5.0,1
0.0,1342.0,285.0,79.0,195.0,2561.0,167.0,168.0,276.0,191.0,39.0,2.0,612.0,224.0,116.0,388.0,1107.0,608.0,1358.0,521.0,275.0,0.0,1265.0,238.0,27.0,385.0,14.0,0.0,371.0,5.0,1
0.0,2645.0,519.0,157.0,425.0,2250.0,336.0,338.0,553.0,366.0,52.0,4.0,66.0,435.0,220.0,829.0,2187.0,865.0,2667.0,412.0,542.0,0.0,2142.0,476.0,39.0,770.0,18.0,0.0,425.0,14.0,1
0.0,866.0,316.0,78.0,285.0,1510.0,164.0,165.0,141.0,194.0,42.0,2.0,12.0,219.0,110.0,419.0,680.0,736.0,880.0,344.0,268.0,0.0,1089.0,230.0,30.0,385.0,17.0,0.0,301.0,5.0,1
0.0,1354.0,290.0,87.0,210.0,1459.0,171.0,172.0,276.0,189.0,45.0,2.0,5.0,216.0,108.0,437.0,1130.0,571.0,1377.0,292.0,273.0,0.0,1175.0,238.0,22.0,385.0,10.0,0.0,255.0,9.0,1
