sys_enter_recvmsg,sys_enter_futex,sys_enter_pwrite64,sys_enter_read,sys_enter_poll,sys_enter_write,sys_enter_epoll_wait,sys_enter_ioctl,sys_enter_mprotect,sys_enter_newfstatat,sys_enter_madvise,sys_enter_lseek,sys_enter_splice,sys_enter_writev,sys_enter_close,sys_enter_openat,sys_enter_clock_nanosleep,sys_enter_sendmsg,sys_enter_mmap,sys_enter_epoll_pwait,sys_enter_newfstat,sys_enter_nanosleep,sys_enter_rt_sigaction,sys_enter_getrandom,sys_enter_prctl,sys_enter_readlink,sys_enter_fcntl,sys_enter_geteuid,sys_enter_getuid,sys_enter_getegid
129799,126108,104156.0,91662,91320,74880,55411.0,53398.0,39625.0,39528,38342.0,36673.0,36073.0,32235.0,29258,28827,23512.0,22506.0,21383,14512,,,,,,,,,,
31582,169028,,138547,48200,42919,,,,49642,,,,,167529,169100,,,29629,33775,138587.0,51347.0,46704.0,34247.0,32982.0,29271.0,26027.0,20318.0,20197.0,20161.0
