sys_enter_recvmsg,sys_enter_futex,sys_enter_pwrite64,sys_enter_read,sys_enter_poll,sys_enter_write,sys_enter_epoll_wait,sys_enter_ioctl,sys_enter_mprotect,sys_enter_newfstatat,sys_enter_madvise,sys_enter_lseek,sys_enter_splice,sys_enter_writev,sys_enter_close,sys_enter_openat,sys_enter_clock_nanosleep,sys_enter_sendmsg,sys_enter_mmap,sys_enter_epoll_pwait,sys_enter_rt_sigaction,sys_enter_fcntl,sys_enter_rt_sigprocmask,sys_enter_nanosleep,sys_enter_newstat
129799,126108,104156.0,91662,91320,74880,55411.0,53398,39625,39528,38342,36673.0,36073,32235.0,29258,28827,23512,22506.0,21383,14512,,,,,
51815,102676,,118408,56293,48563,,32717,23470,42254,35712,,19315,,53341,41962,11832,,29287,48565,36809.0,25340.0,24797.0,19658.0,16640.0
